artist,title,Journey/Experience,Love/Desire,Life/Contemplation,Relationships/Belief,Wealth/World
Kanye West,Mercy,0.0032706116968458914,0.003236018755412559,0.11933237711476828,0.690593148505174,0.18356784392779937
Kanye West,Monster,0.11101936069457852,0.12092644135150002,0.2391704796793077,0.003826639942326095,0.5250570783322875
Kanye West,"Father Stretch My Hands, Pt. 1",0.08567143899069418,0.009590359366043156,0.009335894739904446,0.8862556802999719,0.009146626603386212
Kanye West,Ultralight Beam,0.14944762186510097,0.08822632326670146,0.6050166419541774,0.003099179828156683,0.15421023308586346
Kanye West,Bound 2,0.008642441374017096,0.603177469912644,0.17779463768989207,0.20160702354319568,0.008778427480251039
Kanye West,New Slaves,0.39251746672096477,0.2868810324167115,0.30923233574483855,0.005719384024690159,0.005649781092794916
Kanye West,Runaway,0.002054962191423019,0.002027817518144886,0.8161818433470659,0.17770736915528632,0.0020280077880797534
Kanye West,Blood On the Leaves,0.1328490445827174,0.11623508173512388,0.22539931619410958,0.24654636844246935,0.2789701890455797
Kanye West,Black Skinhead,0.15164764607563055,0.00882410591586744,0.6181188218348048,0.2126705611584666,0.008738865015230596
Kanye West,No More Parties in LA,0.21884920288363305,0.05101597823401638,0.10047053700025983,0.39568690836205606,0.23397737352003464
Kanye West,Famous,0.8402158350882694,0.0663023094034926,0.007652493127633455,0.007828277565497435,0.07800108481510722
Kanye West,Ghost Town,0.3715689617147376,0.10679966783938259,0.3287990612456111,0.10022583268818609,0.09260647651208254
Kanye West,POWER,0.512901041797019,0.007344445922909694,0.1475708279440277,0.007231770631773769,0.32495191370426973
Kanye West,All Mine,0.01093149028825325,0.24459848974582327,0.010973542197291665,0.7224282810195988,0.011068196749033131
Kanye West,Gold Digger,0.0025925881797450585,0.033909166843889046,0.002597602958748823,0.6534710253594733,0.30742961665814367
Kanye West,Wolves,0.4393268704366493,0.31295526996332335,0.006361497764405496,0.15136558891041593,0.08999077292520594
Kanye West,I Love Kanye,0.23541993291941077,0.4268926973281481,0.3124802805088118,0.012667363710448512,0.012539725533180895
Kanye West,Real Friends,0.8847123027791087,0.0305777808788468,0.005708308529861843,0.0056792759218711,0.07332233189031165
Kanye West,Off The Grid,0.13190933811383201,0.08588031903764187,0.7331851236124353,0.010839230090956081,0.038185989145134894
Kanye West,Can’t Tell Me Nothing,0.6280917011075693,0.0036500935674021124,0.20728446384299445,0.0036685003103396575,0.15730524117169448
Kendrick Lamar,HUMBLE.,0.7400921242381436,0.010696603431446315,0.010953972773302333,0.22695718213257365,0.011300117424534068
Kendrick Lamar,​euphoria,0.5027793091112092,0.0443042146072028,0.32975040421645885,0.10300063209237016,0.020165439972759158
Kendrick Lamar,​m.A.A.d city,0.7056247516899322,0.005457721683432003,0.24678799729255943,0.005601464298183835,0.03652806503589244
Kendrick Lamar,Not Like Us,0.12239444690491845,0.067342751660142,0.547700158169329,0.2592241036053462,0.003338539660264156
Kendrick Lamar,Swimming Pools (Drank),0.44965010842611336,0.062054115692066585,0.20616965284021643,0.2769284777804183,0.005197645261185323
Kendrick Lamar,Money Trees,0.42924094713606203,0.14588088942745128,0.24322764730043175,0.0962925377029158,0.0853579784331393
Kendrick Lamar,DNA.,0.3217090671373681,0.007529225303773421,0.36060661177857367,0.0702711424550291,0.23988395332525572
Kendrick Lamar,XXX.,0.23939831777148896,0.12336009394621025,0.4517668972417057,0.17632014282819575,0.00915454821239946
Kendrick Lamar,"Bitch, Don’t Kill My Vibe",0.004725168897297129,0.004712461869968138,0.9811998711173275,0.004628210848207968,0.0047342872671992985
Kendrick Lamar,King Kunta,0.004739204685107199,0.4308431150351596,0.35323129050765517,0.0048895799178905516,0.20629680985418755
Kendrick Lamar,​meet the grahams,0.43853234581020706,0.10706166932440092,0.21470354515429577,0.13450922926870817,0.10519321044238784
Kendrick Lamar,Poetic Justice,0.46591732752733805,0.17291548310421487,0.11225022356658848,0.14760428795819122,0.1013126778436674
Kendrick Lamar,LOVE.,0.003000467152228622,0.6541090495576887,0.21239857280826835,0.0028772887340790033,0.12761462174773544
Kendrick Lamar,Alright,0.13963166694582263,0.10024488411973548,0.4834381498891971,0.27191149743812465,0.0047738016071201105
Kendrick Lamar,Backseat Freestyle,0.004198846239275353,0.19331965968113832,0.5493807020773779,0.004085546116245604,0.24901524588596288
Kendrick Lamar,"Sing About Me, I’m Dying of Thirst",0.26165559056162035,0.017090086129465543,0.40999323314109265,0.18675237545004222,0.12450871471777931
Kendrick Lamar,The Blacker the Berry,0.3359671048630436,0.3477830742567067,0.16668948254987842,0.030572970802393296,0.11898736752797809
Kendrick Lamar,ELEMENT.,0.005852875489599511,0.005799918860670703,0.9141891705985548,0.0057805849467859344,0.06837745010438923
Kendrick Lamar,LOYALTY.,0.3910222786967533,0.2938485582943366,0.20483096984014307,0.056689636132612284,0.053608557036154705
Kendrick Lamar,​i (Album Version),0.38630216831645925,0.34229745011527934,0.17612348784023957,0.05617541393292359,0.03910147979509818
Cardi B,WAP,0.10238512718041856,0.08194336777336644,0.36812321227467304,0.007305427346650405,0.4402428654248916
Cardi B,Bodak Yellow,0.006202524275571171,0.006505135217567539,0.554761193752563,0.051237656471456866,0.38129349028284115
Cardi B,Up,0.7357667380190742,0.08188861510445461,0.16880049718060688,0.006811890365310116,0.006732259330554073
Cardi B,Bartier Cardi,0.8344646982361452,0.010836580189710567,0.13337497288306593,0.010707950349425906,0.010615798341652345
Cardi B,Be Careful,0.00610251625606365,0.358913301331446,0.33032808382688855,0.24693709159590965,0.0577190069896921
Cardi B,Money,0.0029000565695768365,0.002893284854052797,0.0029281011199550665,0.05464678556670028,0.936631771889715
Cardi B,Press,0.00928313753631553,0.051521297104668726,0.671068076558497,0.009153675281498273,0.2589738135190206
Cardi B,Thru Your Phone,0.5339174537100654,0.16752793723140477,0.057989309185956975,0.1555297006536456,0.08503559921892725
Cardi B,I Do,0.006288202092757196,0.3199158683117633,0.4865728456575397,0.13468345618888877,0.05253962774905103
Cardi B,Drip,0.4478639262801352,0.03789234688738038,0.17194460293219105,0.33390163964528885,0.008397484255004545
Cardi B,Ring,0.4153540696566768,0.3859879181744314,0.005436725565361806,0.187927043568887,0.005294243034642954
Cardi B,Get Up 10,0.23870093033079082,0.12110047987072929,0.39255895191208173,0.004181086769007634,0.24345855111739062
Cardi B,WAP (Clean),0.09876374519049637,0.0711477153028625,0.39175547214045725,0.08973334725491208,0.3485997201112718
Cardi B,Best Life,0.09031278881018823,0.02365269869032352,0.7409216123818594,0.004120213467823568,0.1409926866498053
Cardi B,Bickenhead,0.00854613967548473,0.008519904490189047,0.008625530998595712,0.47110977809659493,0.5031986467391356
Cardi B,Money Bag,0.00213828656709204,0.0021300320842031033,0.0021884797772056294,0.002110559616630357,0.9914326419548688
Cardi B,Foreva,0.29310086774114413,0.07450403549729441,0.29627559432941913,0.010844340831131453,0.3252751616010109
Cardi B,Lick,0.00496952119538087,0.004774410147486821,0.9011422807651305,0.0048345420049176,0.08427924588708412
Cardi B,Enough (Miami),0.01281335589984811,0.012579658714617897,0.636569436476167,0.23863544760913574,0.09940210130023122
Johnny Cash,You Are My Sunshine,0.7245412150871287,0.2449401156847823,0.010258886449532966,0.010174093283009103,0.010085689495546947
Johnny Cash,Folsom Prison Blues,0.2409658562668976,0.09699055409060166,0.015565734552629091,0.6302743185113263,0.016203536578545417
Johnny Cash,Ring of Fire,0.034344315005641925,0.43569588913779467,0.033379031049898346,0.03397796176743177,0.4626028030392333
Johnny Cash,Hurt,0.9316909940039786,0.016772667986384823,0.017258390397755393,0.016890929916767435,0.017387017695113794
Johnny Cash,I Walk The Line,0.8429091506838559,0.12479927346094785,0.010874689935205729,0.010819951140266695,0.010596934779723944
Johnny Cash,The Man Comes Around,0.7349502579053128,0.011945562057991563,0.012192953961681576,0.22902926514118976,0.01188196093382415
Johnny Cash,God’s Gonna Cut You Down,0.00313707528921288,0.0031083446024796698,0.9875581919853723,0.003103623555291663,0.0030927645676434626
Johnny Cash,Cocaine Blues (At Folsom Prison),0.6044616922283542,0.012980357238355332,0.35670111899637263,0.012745407221083745,0.013111424315834046
Johnny Cash,A Boy Named Sue,0.562404988520857,0.06569801990865103,0.1908604064560163,0.17604961052400947,0.0049869745904662375
Johnny Cash,I’ve Been Everywhere,0.9712443019386073,0.007203662273568316,0.007170053610715651,0.007147465050036299,0.007234517127072422
Johnny Cash,Man in Black,0.6295588846799316,0.18733554978863257,0.010944774523947359,0.01070167798734581,0.16145911302014268
Johnny Cash,One,0.046055983200269456,0.5593508041145683,0.2673282865179699,0.11870707465164501,0.008557851515547289
Johnny Cash,Big River,0.9253587309581531,0.01828448305470919,0.018632229287647094,0.018802521330673207,0.018922035368817414
Johnny Cash,Ain’t No Grave (Gonna Hold This Body Down),0.08393974864659093,0.009561810815472293,0.009762550655320421,0.009871884105785997,0.8868640057768304
Johnny Cash,Ghost Riders in the Sky,0.4491258924920159,0.07472867988337686,0.013782918278726875,0.013677692230504902,0.44868481711537544
Johnny Cash,The Long Black Veil,0.5971612070443266,0.018229579443135534,0.34816058251096393,0.01823068975653294,0.018217941245040965
Johnny Cash,I Still Miss Someone,0.04010274440792839,0.45412550843378835,0.18066607005841065,0.0400941172493444,0.2850115598505281
Johnny Cash,Wayfaring Stranger,0.02998580305142431,0.4479349595032207,0.4631452675622542,0.02900086150856458,0.029933108374536076
Johnny Cash,Cry! Cry! Cry!,0.8150862380855609,0.15679759737279012,0.009277096028833393,0.009325546716581333,0.009513521796234303
Johnny Cash,I Won’t Back Down,0.29732072026215833,0.02249672852368233,0.1356170566061382,0.35781654106484667,0.18674895354317436
Dolly Parton,Jolene,0.6337330155354537,0.2660004014308713,0.03350496607081834,0.033353223227498126,0.03340839373535857
Dolly Parton,9 to 5,0.4046824867966617,0.12395081952629908,0.38231276742050396,0.006635745554745313,0.08241818070179004
Dolly Parton,Coat of Many Colors,0.023498893730628707,0.5560624460978595,0.0225634866875959,0.023113543522739716,0.3747616299611762
Dolly Parton,I Will Always Love You,0.2197482314273636,0.7432746777079777,0.0122572818057534,0.012253737363315642,0.012466071695589725
Dolly Parton,World On Fire,0.004346208784633152,0.040288177143590544,0.20157117157435364,0.36382487499468646,0.3899695675027362
Dolly Parton,Just Because I’m a Woman,0.23231703475732507,0.013506055014608232,0.3374276905124936,0.40330190126702486,0.013447318448548158
Dolly Parton,Berry Pie,0.2693258172545099,0.3458511217820109,0.01837966364546677,0.01886345882909882,0.34757993848891366
Dolly Parton,Here You Come Again,0.011541891319602359,0.011197558910669769,0.011657807169010657,0.6358051476579923,0.32979759494272476
Dolly Parton,Cracker Jack,0.2051939440615153,0.416708389693726,0.3579732773230651,0.009730067913034128,0.01039432100865943
Dolly Parton,Hard Candy Christmas,0.9493686238139234,0.012549209274590882,0.012764922686767283,0.012764081963576914,0.012553162261141662
Dolly Parton,From Here to the Moon and Back (2014),0.012578503754763297,0.5150155448300405,0.24936796354921742,0.012571972394894434,0.2104660154710843
Dolly Parton,Two Doors Down,0.018498001311294168,0.1076233907414918,0.25761766019591975,0.5978628837949715,0.01839806395632269
Dolly Parton,Girl in the Movies,0.005012382254940029,0.6873133713279023,0.04797200188023456,0.25462686271932466,0.005075381817598509
Dolly Parton,Dumb Blonde,0.656662428796719,0.00806391135385427,0.008211023594583627,0.31870364253683964,0.008358993718003421
Dolly Parton,The Little Drummer Boy,0.028815852990000224,0.028629087276435133,0.028905890546628423,0.6410529590186012,0.27259621016833513
Dolly Parton,The Bridge,0.26354751068656296,0.16110395808222439,0.13030434551135167,0.43576795085882003,0.009276234861040906
Dolly Parton,Me and Little Andy,0.3526200566919716,0.060724091480524406,0.009499499458256828,0.12853527142735405,0.4486210809418932
Dolly Parton,Why’d You Come in Here Lookin’ Like That,0.4619724027372486,0.3220053677739219,0.010691643437226927,0.1943873382705188,0.01094324778108381
Dolly Parton,Rockin’ Years,0.022539020095314683,0.6867156288533194,0.022299576405901383,0.022321100001056787,0.24612467464440768
Dolly Parton,Do I Ever Cross Your Mind,0.006511033860894068,0.1271668769916702,0.8536356085026655,0.0064087800660232504,0.006277700578747079
Luke Bryan,Most People Are Good,0.003393754445748944,0.15704136442132158,0.2173353680090787,0.6187902713427985,0.0034392417810522394
Luke Bryan,Country Girl (Shake It for Me),0.003932483689738067,0.003954317598683062,0.003867327953212441,0.9842057780834336,0.004040092674932951
Luke Bryan,Rain is a Good Thing,0.00644776063496558,0.10406738704054753,0.006738758121488212,0.4193216305886716,0.46342446361432715
Luke Bryan,What She Wants Tonight,0.20869378318316373,0.6031658518821429,0.015441440985990892,0.014467367818853225,0.15823155612984927
Luke Bryan,That’s My Kind of Night,0.5005137691556756,0.21241141309449876,0.09773429409767274,0.00457742470316496,0.18476309894898796
Luke Bryan,Play It Again,0.5837109331738952,0.027400452728394687,0.2657859669809848,0.11567075140761776,0.0074318957091076545
Luke Bryan,Light It Up,0.23680221588671624,0.32423086653535577,0.00753501767751062,0.42397558423236686,0.0074563156680504325
Luke Bryan,Drunk on You,0.4269697287886234,0.0054741163489612004,0.005496395766259936,0.005638067202184637,0.5564216918939707
Luke Bryan,Strip It Down,0.5104682305412153,0.03355175383299511,0.08020889790523886,0.22481389296254922,0.15095722475800175
Luke Bryan,Drink a Beer,0.7586840548108555,0.01071842575959126,0.010999832448241242,0.20895439915789138,0.010643287823420774
Luke Bryan,Kick the Dust Up,0.4935612518539299,0.007196921317095615,0.007348902429043115,0.4421296603345335,0.04976326406539794
Luke Bryan,To the Moon and Back,0.586066173573977,0.33831703519166506,0.025121221898103153,0.025410478369344586,0.025085090966910372
Luke Bryan,"Huntin’, Fishin’ and Lovin’ Every Day",0.7755038885370275,0.03324170585576554,0.05429165935577962,0.13042010604858886,0.006542640202838524
Luke Bryan,One Margarita,0.46993848442079456,0.008380077364836263,0.008586468568542074,0.20999304925688814,0.30310192038893913
Luke Bryan,Fast,0.6663350872670614,0.19242484145894345,0.1209598604200251,0.010210584460560147,0.010069626393409943
Luke Bryan,Home Alone Tonight,0.20396511308760834,0.34267406317975097,0.00590765048285098,0.4413619325578369,0.006091240691952777
